PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Aug 15 2020,M,6,10,11,12,14,18,22,23,24,25,28,37,39,40,41,44,48,52,56,62
Aug 14 2020,M,4,6,13,15,16,20,22,29,31,33,34,39,42,45,50,60,62,64,69,70
Aug 13 2020,M,2,3,5,7,8,10,14,18,25,26,27,28,32,38,39,40,45,50,64,66
Aug 12 2020,M,1,4,10,11,13,23,25,29,36,38,42,45,46,47,48,49,50,53,54,63
Aug 11 2020,M,9,10,13,15,18,19,20,21,23,25,28,36,39,52,53,57,64,67,68,69
Aug 10 2020,M,2,3,5,14,16,17,25,27,29,32,34,35,36,45,54,57,59,61,63,68
Aug 09 2020,M,4,10,11,13,14,26,27,31,34,38,39,41,52,54,57,58,59,61,62,70
Aug 08 2020,M,4,7,9,15,17,34,46,48,50,52,53,54,56,60,62,63,64,65,67,69
Aug 07 2020,M,13,14,15,24,32,35,36,37,38,41,49,50,52,53,54,57,62,63,65,67
Aug 06 2020,M,4,9,12,16,27,28,29,32,39,40,42,43,50,53,54,61,62,65,66,70
Aug 05 2020,M,5,6,9,13,20,25,33,34,37,39,45,46,47,49,50,53,58,62,63,66
Aug 04 2020,M,1,2,4,16,24,28,31,32,39,40,41,44,45,46,51,53,56,59,61,65
Aug 03 2020,M,5,6,7,9,10,12,13,14,34,36,38,43,44,49,52,55,57,66,68,70
Aug 02 2020,M,2,5,6,15,17,24,27,28,33,37,42,43,45,49,50,53,54,55,56,60
Aug 01 2020,M,8,9,10,12,13,16,17,18,19,20,21,22,26,28,38,42,44,48,53,66
Jul 31 2020,M,3,4,8,13,19,22,24,27,30,32,37,39,41,43,45,47,53,60,67,68
Jul 30 2020,M,10,14,16,20,24,25,32,34,39,40,41,44,49,51,54,59,60,61,66,70
Jul 29 2020,M,14,15,20,21,23,25,29,31,33,34,36,37,39,40,41,45,48,49,54,61
